seller_level,buying_review_rating,count,seller_country,seller_name,is_fiverr_choice,pos,buying_review_rating_count,is_pro,price_i,isPro,score
level_one_seller,5,24,PK,faisal2723,False,802,21,False,100,,4.9722223
level_two_seller,5,69,PK,shoaib_r90j,False,803,2,False,80,,4.9903383
level_two_seller,5,76,BD,omarfaruque7025,False,804,18,False,80,,4.854701
level_two_seller,5,145,PK,naumanmilo,False,805,105,False,350,,4.970464
level_one_seller,4.9,81,PK,nadeemaslam0129,False,806,66,False,80,,4.9588475
level_one_seller,4.4,100,PK,halolabdesign,False,807,23,True,150,,4.417778
level_two_seller,4.9,74,PK,amazon_exprt30,False,808,13,False,80,,4.920398
level_two_seller,4.9,70,PK,bakhtbaidar7,False,809,15,False,95,,4.885714
level_two_seller,4.7,156,PK,naveedrahat,False,810,48,False,80,,4.8739314
level_two_seller,4.9,240,BD,sarafatulrabby,False,811,55,False,80,,4.944193
level_two_seller,5,19,PK,zeeuiuxdesign,False,812,5,False,40,,5
level_one_seller,5,31,PK,maria_halvi,False,813,2,False,100,,4.967742
top_rated_seller,5,1537,PK,aidych,False,814,24,False,170,,4.9692173
level_two_seller,4.6,1044,PK,aleem_iqbal,False,815,151,False,100,,4.9407406
LEVEL_TWO,4.9,69,PK,nabeel_ahmed370,False,816,86,,10,False,4.9
LEVEL_TRS,5,341,MY,sufrisuf,False,817,547,,250,True,5
LEVEL_TWO,5,57,UA,oliynykdm,False,818,84,,50,True,5
LEVEL_TWO,4.9,152,PK,ferozarshad,False,819,219,,20,False,4.9
LEVEL_TWO,5,137,ZA,martindejonge_,False,820,157,,50,False,5
LEVEL_TWO,5,193,BD,wyarej,False,821,298,,10,False,5
LEVEL_TRS,5,900,GB,declanmaltman,False,822,1249,,1295,True,5
LEVEL_TWO,4.8,310,BD,creative_limon1,False,823,374,,30,False,4.8
LEVEL_TWO,5,15,PK,abuzerfirdousi,False,824,24,,10,False,5
LEVEL_TWO,4.8,132,PK,itx_alee,False,825,153,,20,False,4.8
LEVEL_TRS,5,1590,PK,haseeb_coder,False,826,2518,,35,False,5
LEVEL_TRS,4.9,368,IN,aniljangir159,False,827,585,,100,False,4.9
LEVEL_TWO,5,116,BD,freelancerasma,False,828,179,,30,False,5
LEVEL_TWO,5,30,BD,mustafiz_shaik,False,829,35,,20,False,5
